TIME,fixed,tou,fit,ch_cost,dis_cost,mode_0,mode_1,mode_2,set_point,sp_soft,heat_gains,load_sim,load1,heat_gains0,load
07:40:00,0.25,0.28,0.11,0.02,0.01,1,0,0,25,10,1.32,500,1500,0,3013
07:45:00,0.25,0.28,0.11,0.02,0.01,1,0,0,25,10,1.32,500,1500,0,3003
07:50:00,0.25,0.28,0.11,0.02,0.01,1,0,0,25,10,1.32,500,1500,0,3012
07:55:00,0.25,0.28,0.11,0.02,0.01,1,0,0,25,10,1.32,500,1500,0,3001
08:00:00,0.25,0.28,0.11,0.02,0.01,1,0,0,23,50,1.02,4000,1500,0,757
08:05:00,0.25,0.28,0.11,0.02,0.01,1,0,0,23,50,1.02,4000,1500,0,753
08:10:00,0.25,0.28,0.11,0.02,0.01,1,0,0,23,50,1.02,4000,1500,0,756
08:15:00,0.25,0.28,0.11,0.02,0.01,1,0,0,23,50,1.02,4000,1500,0,758
08:20:00,0.25,0.28,0.11,0.02,0.01,1,0,0,23,50,1.02,4000,1500,0,767
08:25:00,0.25,0.28,0.11,0.02,0.01,1,0,0,23,50,1.02,4000,1500,0,770
08:30:00,0.25,0.28,0.11,0.02,0.01,1,0,0,23,50,1.02,500,1500,0,764
08:35:00,0.25,0.28,0.11,0.02,0.01,1,0,0,23,50,1.02,500,1500,0,763
08:40:00,0.25,0.28,0.11,0.02,0.01,1,0,0,23,50,1.02,500,1500,0,765
08:45:00,0.25,0.28,0.11,0.02,0.01,1,0,0,23,50,1.02,500,1500,0,776
08:50:00,0.25,0.28,0.11,0.02,0.01,1,0,0,23,50,1.02,500,1500,0,789
08:55:00,0.25,0.28,0.11,0.02,0.01,1,0,0,23,50,1.02,500,1500,0,793
09:00:00,0.25,0.21,0.11,0.02,0.01,1,0,0,23,50,0.38,300,500,0,406
09:05:00,0.25,0.21,0.11,0.02,0.01,1,0,0,23,50,0.38,300,500,0,382
09:10:00,0.25,0.21,0.11,0.02,0.01,1,0,0,23,50,0.38,300,500,0,427
09:15:00,0.25,0.21,0.11,0.02,0.01,1,0,0,23,50,0.38,300,500,0,394
09:20:00,0.25,0.21,0.11,0.02,0.01,1,0,0,23,50,0.38,300,500,0,408
09:25:00,0.25,0.21,0.11,0.02,0.01,1,0,0,23,50,0.38,300,500,0,402
09:30:00,0.25,0.21,0.11,0.02,0.01,1,0,0,23,50,0.38,300,500,0,419
09:35:00,0.25,0.21,0.11,0.02,0.01,1,0,0,23,50,0.38,300,500,0,420
09:40:00,0.25,0.21,0.11,0.02,0.01,1,0,0,23,50,0.38,300,500,0,408
